,model_name,learning_rate,batch_size_train,step,train_loss,train_accuracy,f1_score_train,test_loss,test_accuracy,f1_score_test,time
0,distilbert-base-uncased,1e-05,32,100,0.051,1.0,1.0,0.104,97.1,0.97,0:00:42
1,distilbert-base-uncased,1e-05,32,200,0.067,0.97,0.97,0.065,97.7,0.98,0:01:24
2,distilbert-base-uncased,1e-05,32,300,0.012,1.0,1.0,0.064,97.85,0.98,0:02:07
3,distilbert-base-uncased,1e-05,32,400,0.01,1.0,1.0,0.052,98.6,0.99,0:02:49
4,distilbert-base-uncased,1e-05,32,500,0.005,1.0,1.0,0.058,98.2,0.98,0:03:32
5,distilbert-base-uncased,1e-05,32,600,0.013,1.0,1.0,0.047,98.95,0.99,0:04:14
6,distilbert-base-uncased,1e-05,32,700,0.002,1.0,1.0,0.042,99.05,0.99,0:04:57
7,distilbert-base-uncased,1e-05,32,800,0.002,1.0,1.0,0.058,98.45,0.98,0:05:45
8,distilbert-base-uncased,1e-05,32,900,0.002,1.0,1.0,0.043,99.05,0.99,0:06:28
9,distilbert-base-uncased,1e-05,32,1000,0.002,1.0,1.0,0.046,98.95,0.99,0:07:11
10,distilbert-base-uncased,1e-05,32,1100,0.002,1.0,1.0,0.041,99.05,0.99,0:07:53
11,distilbert-base-uncased,1e-05,32,1200,0.001,1.0,1.0,0.042,99.05,0.99,0:08:37
12,distilbert-base-uncased,1e-05,32,1300,0.001,1.0,1.0,0.045,99.05,0.99,0:09:21
13,distilbert-base-uncased,1e-05,32,1400,0.002,1.0,1.0,0.043,98.95,0.99,0:10:04
14,distilbert-base-uncased,1e-05,32,1500,0.001,1.0,1.0,0.041,99.1,0.99,0:10:47
15,distilbert-base-uncased,1e-05,32,1600,0.001,1.0,1.0,0.047,99.05,0.99,0:11:30
16,distilbert-base-uncased,1e-05,32,1700,0.001,1.0,1.0,0.041,99.1,0.99,0:12:14
17,distilbert-base-uncased,1e-05,32,1800,0.007,1.0,1.0,0.04,99.1,0.99,0:12:58
18,distilbert-base-uncased,1e-05,32,1900,0.001,1.0,1.0,0.04,99.1,0.99,0:13:42
19,distilbert-base-uncased,1e-05,32,2000,0.002,1.0,1.0,0.04,99.1,0.99,0:14:25
20,distilbert-base-uncased,3e-05,32,100,0.121,0.97,0.97,0.09,96.85,0.97,0:00:42
21,distilbert-base-uncased,3e-05,32,200,0.004,1.0,1.0,0.063,98.35,0.98,0:01:25
22,distilbert-base-uncased,3e-05,32,300,0.025,1.0,1.0,0.063,98.0,0.98,0:02:08
23,distilbert-base-uncased,3e-05,32,400,0.003,1.0,1.0,0.041,99.0,0.99,0:02:51
24,distilbert-base-uncased,3e-05,32,500,0.003,1.0,1.0,0.05,98.75,0.99,0:03:33
25,distilbert-base-uncased,3e-05,32,600,0.001,1.0,1.0,0.035,99.1,0.99,0:04:16
26,distilbert-base-uncased,3e-05,32,700,0.005,1.0,1.0,0.036,99.2,0.99,0:04:59
27,distilbert-base-uncased,3e-05,32,800,0.003,1.0,1.0,0.044,98.7,0.99,0:05:43
28,distilbert-base-uncased,3e-05,32,900,0.04,0.97,0.96,0.104,97.2,0.97,0:06:25
29,distilbert-base-uncased,3e-05,32,1000,0.0,1.0,1.0,0.042,98.95,0.99,0:07:08
30,distilbert-base-uncased,3e-05,32,1100,0.0,1.0,1.0,0.034,99.25,0.99,0:07:50
31,distilbert-base-uncased,3e-05,32,1200,0.001,1.0,1.0,0.034,99.25,0.99,0:08:34
32,distilbert-base-uncased,3e-05,32,1300,0.0,1.0,1.0,0.027,99.55,1.0,0:09:18
33,distilbert-base-uncased,3e-05,32,1400,0.0,1.0,1.0,0.035,99.3,0.99,0:10:01
34,distilbert-base-uncased,3e-05,32,1500,0.0,1.0,1.0,0.028,99.45,0.99,0:10:45
35,distilbert-base-uncased,3e-05,32,1600,0.003,1.0,1.0,0.035,99.35,0.99,0:11:28
36,distilbert-base-uncased,3e-05,32,1700,0.0,1.0,1.0,0.034,99.35,0.99,0:12:12
37,distilbert-base-uncased,3e-05,32,1800,0.0,1.0,1.0,0.033,99.4,0.99,0:12:55
38,distilbert-base-uncased,3e-05,32,1900,0.001,1.0,1.0,0.032,99.45,0.99,0:13:39
39,distilbert-base-uncased,3e-05,32,2000,0.0,1.0,1.0,0.032,99.45,0.99,0:14:22
40,distilbert-base-uncased,5e-05,32,100,0.172,0.94,0.95,0.077,97.7,0.98,0:00:42
41,distilbert-base-uncased,5e-05,32,200,0.003,1.0,1.0,0.039,98.8,0.99,0:01:26
42,distilbert-base-uncased,5e-05,32,300,0.054,0.97,0.98,0.031,98.9,0.99,0:02:08
43,distilbert-base-uncased,5e-05,32,400,0.004,1.0,1.0,0.029,99.15,0.99,0:02:51
44,distilbert-base-uncased,5e-05,32,500,0.132,0.94,0.93,0.047,98.45,0.98,0:03:34
45,distilbert-base-uncased,5e-05,32,600,0.001,1.0,1.0,0.028,99.25,0.99,0:04:17
46,distilbert-base-uncased,5e-05,32,700,0.023,1.0,1.0,0.03,99.25,0.99,0:05:01
47,distilbert-base-uncased,5e-05,32,800,0.0,1.0,1.0,0.052,98.6,0.99,0:05:44
48,distilbert-base-uncased,5e-05,32,900,0.003,1.0,1.0,0.036,98.65,0.99,0:06:27
49,distilbert-base-uncased,5e-05,32,1000,0.001,1.0,1.0,0.027,99.4,0.99,0:07:09
50,distilbert-base-uncased,5e-05,32,1100,0.0,1.0,1.0,0.035,99.25,0.99,0:07:53
51,distilbert-base-uncased,5e-05,32,1200,0.0,1.0,1.0,0.034,99.4,0.99,0:08:36
52,distilbert-base-uncased,5e-05,32,1300,0.0,1.0,1.0,0.036,99.4,0.99,0:09:20
53,distilbert-base-uncased,5e-05,32,1400,0.0,1.0,1.0,0.032,99.4,0.99,0:10:03
54,distilbert-base-uncased,5e-05,32,1500,0.0,1.0,1.0,0.037,99.3,0.99,0:10:47
55,distilbert-base-uncased,5e-05,32,1600,0.0,1.0,1.0,0.038,99.2,0.99,0:11:30
56,distilbert-base-uncased,5e-05,32,1700,0.0,1.0,1.0,0.035,99.25,0.99,0:12:14
