,model_name,learning_rate,batch_size_train,step,train_loss,train_accuracy,f1_score_train,test_loss,test_accuracy,f1_score_test,time
0,distilbert-base-uncased,5e-05,64,100,0.0116,1.0,1.0,0.082,97.6777,0.9227,0:01:06
1,distilbert-base-uncased,5e-05,64,200,0.001,1.0,1.0,0.0378,99.0148,0.9653,0:02:16
2,distilbert-base-uncased,5e-05,64,300,0.0004,1.0,1.0,0.0297,99.1555,0.9703,0:03:28
3,distilbert-base-uncased,5e-05,64,400,0.0003,1.0,1.0,0.0323,99.2963,0.9751,0:04:38
4,distilbert-base-uncased,5e-05,64,500,0.0002,1.0,1.0,0.0603,99.0148,0.9662,0:05:47
5,distilbert-base-uncased,5e-05,64,600,0.0093,1.0,1.0,0.0336,99.437,0.9799,0:06:57
6,distilbert-base-uncased,5e-05,64,700,0.0001,1.0,1.0,0.0334,99.5778,0.985,0:08:06
7,distilbert-base-uncased,5e-05,64,800,0.0001,1.0,1.0,0.0342,99.5778,0.985,0:09:16
8,distilbert-base-uncased,5e-05,64,900,0.0,1.0,1.0,0.0348,99.5778,0.985,0:10:26
9,distilbert-base-uncased,5e-05,64,1000,0.0,1.0,1.0,0.0354,99.5778,0.985,0:11:35
10,distilbert-base-uncased,5e-05,64,1100,0.0001,1.0,1.0,0.0359,99.5778,0.985,0:12:45
11,distilbert-base-uncased,5e-05,64,1200,0.0,1.0,1.0,0.0364,99.5778,0.985,0:13:54
12,distilbert-base-uncased,5e-05,64,1300,0.0,1.0,1.0,0.0368,99.5778,0.985,0:15:03
13,distilbert-base-uncased,5e-05,64,1400,0.0,1.0,1.0,0.0372,99.5778,0.985,0:16:13
14,distilbert-base-uncased,5e-05,64,1500,0.0,1.0,1.0,0.0375,99.5778,0.985,0:17:22
15,distilbert-base-uncased,5e-05,64,1600,0.0,1.0,1.0,0.0378,99.5778,0.985,0:18:32
16,distilbert-base-uncased,5e-05,64,1700,0.0,1.0,1.0,0.038,99.5778,0.985,0:19:41
17,distilbert-base-uncased,5e-05,64,1800,0.0,1.0,1.0,0.0381,99.5778,0.985,0:20:50
18,distilbert-base-uncased,5e-05,64,1900,0.0,1.0,1.0,0.0382,99.5778,0.985,0:22:00
19,distilbert-base-uncased,5e-05,64,2000,0.0,1.0,1.0,0.0382,99.5778,0.985,0:23:09
20,distilbert-base-cased,5e-05,64,100,0.0245,0.9844,0.9851,0.0379,98.874,0.9596,0:01:11
21,distilbert-base-cased,5e-05,64,200,0.0018,1.0,1.0,0.025,99.5074,0.9825,0:02:21
