,model_name,learning_rate,batch_size_train,step,train_loss,train_accuracy,f1_score_train,test_loss,test_accuracy,f1_score_test,time
0,distilbert-base-cased,5e-05,64,100,0.0925,0.9844,0.9333,0.0398,98.9444,0.9618,0:01:06
1,distilbert-base-cased,5e-05,64,200,0.0016,1.0,1.0,0.0248,99.0852,0.9677,0:02:12
2,distilbert-base-cased,5e-05,64,300,0.0011,1.0,1.0,0.0189,99.3666,0.9776,0:03:19
3,distilbert-base-cased,5e-05,64,400,0.0003,1.0,1.0,0.0267,99.437,0.9803,0:04:26
4,distilbert-base-cased,5e-05,64,500,0.0012,1.0,1.0,0.0381,99.0852,0.9684,0:05:33
5,distilbert-base-cased,5e-05,64,600,0.0001,1.0,1.0,0.0207,99.6481,0.9875,0:06:40
6,distilbert-base-cased,5e-05,64,700,0.0002,1.0,1.0,0.0237,99.5074,0.9823,0:07:47
7,distilbert-base-cased,5e-05,64,800,0.0001,1.0,1.0,0.0212,99.7185,0.9899,0:08:54
8,distilbert-base-cased,5e-05,64,900,0.0002,1.0,1.0,0.0214,99.6481,0.9875,0:10:01
9,distilbert-base-cased,5e-05,64,1000,0.0,1.0,1.0,0.022,99.6481,0.9875,0:11:08
10,distilbert-base-cased,5e-05,64,1100,0.0,1.0,1.0,0.0225,99.6481,0.9875,0:12:15
11,distilbert-base-cased,5e-05,64,1200,0.0,1.0,1.0,0.0228,99.6481,0.9875,0:13:22
12,distilbert-base-cased,5e-05,64,1300,0.0,1.0,1.0,0.0233,99.6481,0.9875,0:14:29
13,distilbert-base-cased,5e-05,64,1400,0.0,1.0,1.0,0.0236,99.6481,0.9875,0:15:36
14,distilbert-base-cased,5e-05,64,1500,0.0,1.0,1.0,0.0238,99.6481,0.9875,0:16:43
15,distilbert-base-cased,5e-05,64,1600,0.0,1.0,1.0,0.024,99.6481,0.9875,0:17:50
16,distilbert-base-cased,5e-05,64,1700,0.0,1.0,1.0,0.0242,99.6481,0.9875,0:18:57
17,distilbert-base-cased,5e-05,64,1800,0.0,1.0,1.0,0.0217,99.7889,0.9875,0:20:37
18,distilbert-base-cased,5e-05,64,1900,0.0,1.0,1.0,0.0218,99.7889,0.9875,0:21:48
19,distilbert-base-cased,5e-05,64,2000,0.0,1.0,1.0,0.0218,99.7889,0.9875,0:22:58
20,bert-base-uncased,5e-05,32,100,0.0025,1.0,1.0,0.1134,97.5369,0.9109,0:01:13
21,bert-base-uncased,5e-05,32,200,0.0013,1.0,1.0,0.0634,98.6629,0.9514,0:02:28
22,bert-base-uncased,5e-05,32,300,0.0017,1.0,1.0,0.0486,99.0148,0.9643,0:03:42
23,bert-base-uncased,5e-05,32,400,0.0012,1.0,0.0,0.0408,99.0148,0.9652,0:04:56
24,bert-base-uncased,5e-05,32,500,0.0086,1.0,1.0,0.0475,98.6629,0.9542,0:06:10
25,bert-base-uncased,5e-05,32,600,0.0019,1.0,1.0,0.0525,99.0148,0.9643,0:07:24
26,bert-base-uncased,5e-05,32,700,0.0007,1.0,1.0,0.0514,99.0852,0.9671,0:08:38
27,bert-base-uncased,5e-05,32,800,0.0004,1.0,1.0,0.0271,99.5074,0.9825,0:09:52
28,bert-base-uncased,5e-05,32,900,0.0002,1.0,1.0,0.0283,99.5778,0.985,0:11:06
29,bert-base-uncased,5e-05,32,1000,0.0001,1.0,1.0,0.0261,99.6481,0.9874,0:12:20
30,bert-base-cased,3e-05,64,100,0.0211,0.9844,0.9474,0.0426,98.7333,0.955,0:02:13
31,bert-base-uncased,5e-05,32,1100,0.0002,1.0,1.0,0.0266,99.5778,0.985,0:13:33
32,bert-base-uncased,5e-05,32,1200,0.0003,1.0,1.0,0.0215,99.6481,0.9875,0:14:47
33,bert-base-uncased,5e-05,32,1300,0.0001,1.0,1.0,0.0315,99.437,0.9801,0:16:01
34,bert-base-uncased,5e-05,32,1400,0.0001,1.0,1.0,0.0286,99.5074,0.9825,0:17:15
35,bert-base-uncased,5e-05,32,1500,0.0,1.0,1.0,0.0291,99.5074,0.9825,0:18:29
36,bert-base-uncased,5e-05,32,1600,0.0001,1.0,1.0,0.0283,99.5778,0.985,0:19:43
37,bert-base-uncased,5e-05,32,1700,0.0001,1.0,1.0,0.0276,99.5778,0.985,0:20:57
38,bert-base-uncased,5e-05,32,1800,0.0,1.0,1.0,0.0279,99.5778,0.985,0:22:10
39,distilbert-base-uncased,5e-05,64,100,0.0106,1.0,1.0,0.0492,98.6629,0.9517,0:01:04
40,distilbert-base-uncased,5e-05,64,200,0.0029,1.0,1.0,0.0295,99.0148,0.965,0:02:09
41,distilbert-base-uncased,5e-05,64,300,0.0049,1.0,1.0,0.0154,99.5778,0.985,0:03:16
42,distilbert-base-uncased,5e-05,64,400,0.0004,1.0,1.0,0.0326,99.5074,0.9823,0:04:22
43,distilbert-base-uncased,5e-05,64,500,0.0005,1.0,1.0,0.025,99.437,0.98,0:05:29
44,distilbert-base-uncased,5e-05,64,600,0.0002,1.0,1.0,0.0311,99.437,0.98,0:06:36
45,distilbert-base-uncased,5e-05,64,700,0.0001,1.0,1.0,0.0328,99.437,0.9803,0:07:43
46,distilbert-base-uncased,5e-05,64,800,0.0001,1.0,1.0,0.0321,99.2963,0.9751,0:08:49
47,distilbert-base-uncased,5e-05,64,900,0.0001,1.0,1.0,0.0333,99.2963,0.9751,0:09:56
48,distilbert-base-uncased,5e-05,64,1000,0.0001,1.0,1.0,0.034,99.2963,0.9751,0:11:03
49,distilbert-base-uncased,5e-05,64,1100,0.0001,1.0,1.0,0.0347,99.2963,0.9751,0:12:10
50,distilbert-base-uncased,5e-05,64,1200,0.0,1.0,1.0,0.0354,99.2963,0.9751,0:13:17
51,distilbert-base-uncased,5e-05,64,1300,0.0,1.0,1.0,0.0359,99.2963,0.9751,0:14:24
52,distilbert-base-uncased,5e-05,64,1400,0.0,1.0,1.0,0.0364,99.2963,0.9751,0:15:31
53,distilbert-base-uncased,5e-05,64,1500,0.0,1.0,1.0,0.0367,99.2963,0.9751,0:16:38
54,distilbert-base-uncased,5e-05,64,1600,0.0002,1.0,1.0,0.037,99.2963,0.9751,0:17:45
55,distilbert-base-uncased,5e-05,64,1700,0.0,1.0,1.0,0.0372,99.2963,0.9751,0:18:52
56,distilbert-base-uncased,5e-05,64,1800,0.0,1.0,1.0,0.0271,99.437,0.9801,0:20:05
57,distilbert-base-uncased,5e-05,64,1900,0.0,1.0,1.0,0.0272,99.437,0.9801,0:21:12
58,distilbert-base-uncased,5e-05,64,2000,0.0,1.0,1.0,0.0272,99.437,0.9801,0:22:20
59,bert-base-cased,3e-05,64,200,0.0043,1.0,1.0,0.0296,99.2963,0.975,0:04:28
60,bert-base-cased,3e-05,64,300,0.0007,1.0,1.0,0.0242,99.5778,0.9849,0:06:41
61,bert-base-cased,3e-05,64,400,0.0003,1.0,1.0,0.019,99.5778,0.9849,0:08:54
62,bert-base-cased,3e-05,64,500,0.0002,1.0,1.0,0.02,99.6481,0.9874,0:11:07
63,bert-base-cased,3e-05,64,600,0.0001,1.0,1.0,0.0128,99.7889,0.9924,0:13:20
64,bert-base-cased,3e-05,64,700,0.0001,1.0,1.0,0.0081,99.8593,0.995,0:15:33
65,bert-base-cased,3e-05,64,800,0.0001,1.0,1.0,0.0083,99.8593,0.995,0:17:46
66,bert-base-cased,3e-05,64,900,0.0001,1.0,1.0,0.0092,99.7889,0.9925,0:19:59
