,model_name,learning_rate,batch_size_train,step,train_loss,train_accuracy,f1_score_train,test_loss,test_accuracy,f1_score_test,time
0,bert-base-uncased,5e-05,64,100,0.0053,1.0,1.0,0.0281,99.2963,0.975,0:02:15
1,bert-base-uncased,5e-05,64,200,0.0006,1.0,1.0,0.0213,99.5778,0.9849,0:04:31
2,bert-base-uncased,5e-05,64,300,0.0007,1.0,1.0,0.021,99.3666,0.9778,0:06:46
3,bert-base-uncased,5e-05,64,400,0.0001,1.0,1.0,0.033,99.5074,0.9823,0:09:06
4,bert-base-uncased,5e-05,64,500,0.0,1.0,1.0,0.0232,99.6481,0.9875,0:11:27
5,bert-base-uncased,5e-05,64,600,0.0,1.0,1.0,0.0262,99.6481,0.9873,0:13:43
6,bert-base-uncased,5e-05,64,700,0.0,1.0,1.0,0.0404,99.5778,0.9848,0:15:57
7,bert-base-uncased,5e-05,64,800,0.0,1.0,1.0,0.0396,99.5778,0.9848,0:18:13
8,bert-base-uncased,5e-05,64,900,0.0,1.0,1.0,0.0394,99.5778,0.9848,0:20:28
9,bert-base-uncased,5e-05,64,1000,0.0,1.0,1.0,0.0393,99.5778,0.9848,0:22:44
10,bert-base-uncased,5e-05,64,1100,0.0,1.0,1.0,0.0392,99.5778,0.9848,0:24:59
11,bert-base-uncased,5e-05,64,1200,0.0,1.0,1.0,0.0391,99.5778,0.9848,0:27:14
12,bert-base-uncased,5e-05,64,1300,0.0,1.0,1.0,0.0391,99.5778,0.9848,0:29:29
13,bert-base-uncased,5e-05,64,1400,0.0,1.0,1.0,0.039,99.5778,0.9848,0:31:45
14,bert-base-uncased,5e-05,64,1500,0.0,1.0,1.0,0.0391,99.5778,0.9848,0:34:00
15,bert-base-uncased,5e-05,64,1600,0.0,1.0,1.0,0.039,99.5778,0.9848,0:36:15
16,bert-base-uncased,5e-05,64,1700,0.0,1.0,1.0,0.0391,99.5778,0.9848,0:38:30
17,bert-base-uncased,5e-05,64,1800,0.0,1.0,1.0,0.0391,99.5778,0.9848,0:40:46
18,bert-base-uncased,5e-05,64,1900,0.0,1.0,1.0,0.0391,99.5778,0.9848,0:43:02
19,bert-base-uncased,5e-05,64,2000,0.0,1.0,1.0,0.0391,99.5778,0.9848,0:45:17
20,distilbert-base-cased,5e-05,64,100,0.0019,1.0,1.0,0.0607,98.5222,0.9492,0:01:08
21,distilbert-base-cased,5e-05,64,200,0.0008,1.0,1.0,0.0213,99.437,0.9799,0:02:16
22,distilbert-base-cased,5e-05,64,300,0.0002,1.0,1.0,0.0218,99.6481,0.9874,0:03:28
23,distilbert-base-cased,5e-05,64,400,0.0001,1.0,1.0,0.022,99.7185,0.9899,0:04:41
24,distilbert-base-cased,5e-05,64,500,0.0002,1.0,1.0,0.0227,99.7185,0.9899,0:05:56
25,distilbert-base-cased,5e-05,64,600,0.0001,1.0,1.0,0.0269,99.6481,0.9875,0:07:07
26,distilbert-base-cased,5e-05,64,700,0.0,1.0,1.0,0.0297,99.6481,0.9875,0:08:19
27,distilbert-base-cased,5e-05,64,800,0.0006,1.0,1.0,0.0221,99.7185,0.9899,0:09:30
28,distilbert-base-cased,5e-05,64,900,0.0001,1.0,1.0,0.0272,99.7185,0.9899,0:10:41
